code,date,open,high,low,close,volume,amount,turn
sh.600543,2007-01-04,3.1226025000,3.1499937500,3.0404287500,3.0513852500,3343610,18811535.0000,4.489272
sh.600543,2007-01-05,3.0513852500,3.1499937500,3.0459070000,3.1445155000,2435825,13741225.0000,3.270442
sh.600543,2007-01-08,3.1554720000,3.2650370000,3.1280807500,3.2650370000,3482533,20428305.0000,4.675796
sh.600543,2007-01-09,3.2814717500,3.3636455000,3.2321675000,3.3088630000,4443914,26821180.0000,5.966587
sh.600543,2007-01-10,3.3143412500,3.3307760000,3.2102545000,3.3143412500,4338729,25864751.0000,5.825361
sh.600543,2007-01-11,3.3472107500,3.4567757500,3.3088630000,3.3198195000,6089918,37681060.0000,8.176582
sh.600543,2007-01-12,3.2869500000,3.5060800000,3.2595587500,3.3910367500,10642814,66334496.0000,14.289492
sh.600543,2007-01-15,3.4622540000,3.7306882500,3.4129497500,3.6539927500,13278465,88199891.0000,17.828229
sh.600543,2007-01-16,3.6375580000,3.7252100000,3.5334712500,3.6868622500,9181212,60708493.0000,12.327084
sh.600543,2007-01-17,3.7032970000,3.9333835000,3.6266015000,3.6868622500,10745282,74052446.0000,14.427070
sh.600543,2007-01-18,3.6704275000,3.9333835000,3.6594710000,3.9333835000,8716058,61126473.0000,11.702548
sh.600543,2007-01-19,4.0100790000,4.1579917500,3.9388617500,4.0155572500,7219493,53022834.0000,9.693197
sh.600543,2007-01-22,4.0319920000,4.3880782500,3.9717312500,4.3168610000,9017830,68733484.0000,12.107720
sh.600543,2007-01-23,4.3552087500,4.3552087500,3.9717312500,4.0922527500,8660101,65385708.0000,11.627418
sh.600543,2007-01-24,4.0539050000,4.2018177500,4.0046007500,4.0977310000,4851759,36327561.0000,6.514177
sh.600543,2007-01-25,4.0539050000,4.0539050000,3.7361665000,3.7690360000,6813791,48311967.0000,9.148484
sh.600543,2007-01-26,3.7416447500,3.8238185000,3.5663407500,3.7909490000,4619005,31319008.0000,6.201672
sh.600543,2007-01-29,3.7964272500,4.1689482500,3.7909490000,4.1689482500,6789631,49660903.0000,9.116046
sh.600543,2007-01-30,4.2456437500,4.4319042500,4.2182525000,4.2949480000,9076449,71787993.0000,12.186425
sh.600543,2007-01-31,4.2620785000,4.3771217500,4.0100790000,4.0484267500,5452704,42233351.0000,7.321031
