code,date,open,high,low,close,volume,amount,turn
sh.600933,2017-11-17,11.9915624400,14.3880594000,11.9915624400,14.3880594000,68420,1081817.0000,0.049494
sh.600933,2017-11-20,15.8314041600,15.8314041600,15.8314041600,15.8314041600,22105,385511.0000,0.015990
sh.600933,2017-11-21,17.4109135200,17.4109135200,17.4109135200,17.4109135200,35232,675750.0000,0.025486
sh.600933,2017-11-22,19.1538204000,19.1538204000,19.1538204000,19.1538204000,271453,5727658.0000,0.196364
sh.600933,2017-11-23,18.8724135600,20.5154664000,17.7830967600,19.7983328400,60559570,1291922327.0000,43.807559
sh.600933,2017-11-24,18.6091620000,19.4261496000,17.8194073200,17.9374166400,36223935,741703647.0000,26.203657
sh.600933,2017-11-27,17.2475160000,17.7740191200,16.4305284000,16.5303824400,25244797,474478801.0000,18.261572
sh.600933,2017-11-28,16.3488296400,16.8934880400,16.3397520000,16.6120812000,15699380,287359237.0000,11.356612
sh.600933,2017-11-29,16.5213048000,16.6574694000,15.5409196800,16.0492675200,20670011,363725436.0000,14.952265
sh.600933,2017-11-30,16.0492675200,16.4849942400,15.8677147200,16.2308203200,16400923,293739273.0000,11.864094
sh.600933,2017-12-01,15.9766464000,16.2217426800,15.7133948400,15.8223265200,12630816,221071417.0000,9.136875
sh.600933,2017-12-04,15.6135408000,15.6135408000,14.4243699600,14.5151463600,19581103,321611193.0000,14.164571
sh.600933,2017-12-05,14.3880594000,14.6966991600,13.7889351600,14.0158761600,12422162,194897627.0000,8.985939
sh.600933,2017-12-06,13.9341774000,14.3789817600,13.8887892000,14.3154382800,11012930,171442384.0000,7.966529
sh.600933,2017-12-07,14.2518948000,14.2700500800,13.9250997600,13.9704879600,8916130,137945488.0000,6.449747
sh.600933,2017-12-08,13.8978668400,14.6513109600,13.8978668400,14.3426712000,13517543,214396692.0000,9.778315
sh.600933,2017-12-11,14.3426712000,14.6694662400,14.1248078400,14.4334476000,9619277,153125491.0000,6.958389
sh.600933,2017-12-12,14.3245159200,14.4697581600,13.9614103200,13.9795656000,7959138,124467399.0000,5.757478
sh.600933,2017-12-13,14.0521867200,14.1792736800,13.9977208800,14.0612643600,4877929,75621751.0000,3.528594
sh.600933,2017-12-14,14.0794196400,14.4152923200,13.9704879600,14.3245159200,8867582,138622214.0000,6.414628
sh.600933,2017-12-15,14.2337395200,14.2518948000,13.9886432400,14.0431090800,6116492,95051878.0000,4.424546
sh.600933,2017-12-18,14.0431090800,14.2700500800,13.9614103200,14.2155842400,5697144,88803434.0000,4.121198
sh.600933,2017-12-19,14.2155842400,14.3245159200,14.0884972800,14.1883513200,5373077,83914685.0000,3.886774
sh.600933,2017-12-20,14.1883513200,14.1883513200,13.5983047200,13.6527705600,8804018,134270467.0000,6.368647
sh.600933,2017-12-21,13.6164600000,13.8706339200,13.0808792400,13.2624320400,9700283,142424056.0000,7.016987
sh.600933,2017-12-22,13.2715096800,13.4802954000,13.2533544000,13.2805873200,6096770,89816095.0000,4.410279
sh.600933,2017-12-25,13.2805873200,13.3078202400,12.8085500400,13.0536463200,7970937,114012240.0000,5.766013
sh.600933,2017-12-26,13.0718016000,13.8615562800,12.9537922800,13.6164600000,14867401,222336406.0000,10.754775
sh.600933,2017-12-27,13.4984506800,14.0975749200,13.4712177600,13.8615562800,15049375,228960792.0000,10.886411
sh.600933,2017-12-28,13.6981587600,14.1429631200,13.6981587600,13.9886432400,13659135,209584162.0000,9.880740
sh.600933,2017-12-29,13.9795656000,14.2246618800,13.7798575200,13.9523326800,9188707,141397110.0000,6.646923
sh.600933,2018-01-02,13.9704879600,14.0431090800,13.8070904400,13.9795656000,6626351,101732729.0000,4.793367
sh.600933,2018-01-03,13.9795656000,13.9795656000,13.7526246000,13.7798575200,7865486,119737822.0000,5.689732
sh.600933,2018-01-04,13.7344693200,13.8524786400,13.4802954000,13.4893730400,7524475,113241385.0000,5.443052
sh.600933,2018-01-05,13.4621401200,13.5892270800,13.3350531600,13.4258295600,6075211,89851071.0000,4.394684
sh.600933,2018-01-08,13.5075283200,14.7693202800,13.4893730400,14.7693202800,22772577,358807336.0000,16.473218
sh.600933,2018-01-09,15.0688824000,16.1581992000,14.9781060000,15.3502892400,43242904,738496634.0000,31.281036
sh.600933,2018-01-10,14.9145625200,15.3139786800,14.6240780400,15.0598047600,22968596,377953656.0000,16.615014
sh.600933,2018-01-11,14.8056308400,15.7406277600,14.6240780400,15.4319880000,26174927,439461449.0000,18.934409
sh.600933,2018-01-12,15.1596588000,15.5136867600,14.9871836400,15.2776681200,15572899,261377821.0000,11.265118
