code,date,open,high,low,close,volume,amount,turn
sh.600843,2007-01-04,4.9056430500,5.1335820200,4.8560911000,5.0146573400,1381090,6874615.0000,4.183904
sh.600843,2007-01-05,5.3417002100,5.3417002100,5.0146573400,5.0542989000,1048355,5369027.0000,3.175909
sh.600843,2007-01-08,5.0047469500,5.2525067000,5.0047469500,5.2227755300,1121394,5799623.0000,3.397175
sh.600843,2007-01-09,5.2525067000,5.3119690400,5.1633131900,5.2822378700,1464773,7772021.0000,4.437415
sh.600843,2007-01-10,5.2921482600,5.3218794300,5.1930443600,5.3119690400,1550543,8224693.0000,4.697248
sh.600843,2007-01-11,5.3813417700,5.6092807400,5.2624170900,5.3516106000,2562426,14109198.0000,7.762668
sh.600843,2007-01-12,5.4011625500,5.5993703500,5.2525067000,5.5002664500,3541249,19574685.0000,10.727936
sh.600843,2007-01-15,5.4507145000,5.6489223000,5.3615209900,5.6489223000,3007437,16815728.0000,9.110794
sh.600843,2007-01-16,5.6687430800,5.6984742500,5.4903560600,5.5795495700,2341800,13102799.0000,7.094299
sh.600843,2007-01-17,5.5498184000,5.5795495700,5.2525067000,5.3317898200,2068707,11378884.0000,6.266985
sh.600843,2007-01-18,5.3417002100,5.5200872300,5.2624170900,5.4804456700,1341767,7277266.0000,4.064778
sh.600843,2007-01-19,5.4507145000,6.0156067300,5.4408041100,5.9858755600,5560697,32071062.0000,16.845695
sh.600843,2007-01-22,6.0948898500,6.2633664800,5.9561443900,6.1840833600,7226028,44411948.0000,21.890684
sh.600843,2007-01-23,6.1741729700,6.7985275400,5.8966820500,6.7390652000,6561663,42459976.0000,19.878043
sh.600843,2007-01-24,6.5210366200,6.7787067600,6.4417535000,6.5210366200,4101646,27144241.0000,12.425614
sh.600843,2007-01-25,6.5507677900,6.6201405200,5.9660547800,6.0056963400,3083868,19514976.0000,9.342336
sh.600843,2007-01-26,5.9660547800,6.0849794600,5.5894599600,5.9264132200,2257995,13259521.0000,6.840419
sh.600843,2007-01-29,6.0750690700,6.2336353100,5.9462340000,6.1840833600,1852608,11449014.0000,5.612330
sh.600843,2007-01-30,6.2237249200,6.2831872600,5.8570404900,5.9561443900,1980649,12076442.0000,6.000221
sh.600843,2007-01-31,5.9561443900,5.9561443900,5.6489223000,5.6786534700,1369187,8061808.0000,4.147844
sh.600843,2007-02-01,5.6489223000,6.1147106300,5.5498184000,5.9858755600,2224120,13217605.0000,6.737797
sh.600843,2007-02-02,5.9462340000,6.2336353100,5.8570404900,5.8867716600,1945364,11894512.0000,5.893327
sh.600843,2007-02-05,5.8074885400,6.1444418000,5.8074885400,6.0453379000,1160060,7040127.0000,3.514311
sh.600843,2007-02-06,6.0948898500,6.2138145300,6.0453379000,6.1840833600,1198956,7422451.0000,3.632143
sh.600843,2007-02-07,6.1939937500,6.2732768700,6.0750690700,6.1642625800,1453570,9013275.0000,4.403476
sh.600843,2007-02-08,6.1741729700,6.3228288200,6.1048002400,6.2930976500,1823501,11447592.0000,5.524153
sh.600843,2007-02-09,6.2930976500,6.3228288200,6.1147106300,6.1840833600,1501531,9366215.0000,4.548770
sh.600843,2007-02-12,6.1939937500,6.3426496000,6.1840833600,6.2831872600,1747311,11070053.0000,5.293341
sh.600843,2007-02-13,6.2930976500,6.4913054500,6.2930976500,6.4813950600,2101254,13576111.0000,6.365584
sh.600843,2007-02-14,6.5111262300,6.8183483200,6.3723807700,6.7687963700,2301243,15235509.0000,6.971435
sh.600843,2007-02-15,6.9075418300,6.9174522200,6.6498716900,6.8679002700,2709072,18552610.0000,8.206921
sh.600843,2007-02-16,7.1850327500,7.3832405500,6.8679002700,6.8877210500,5251788,37847625.0000,15.909879
sh.600843,2007-02-26,6.9372730000,7.1354808000,6.6696924700,7.1156600200,2638147,18505381.0000,7.992059
sh.600843,2007-02-27,7.0859288500,7.2940470400,6.4021119400,6.4021119400,3083193,21285968.0000,9.340291
sh.600843,2007-02-28,6.2039041400,6.7093340300,6.1741729700,6.6796028600,1950445,12751980.0000,5.908720
sh.600843,2007-03-01,6.6796028600,7.0760184600,6.3624703800,6.8778106600,3857563,26151216.0000,11.686184
sh.600843,2007-03-02,6.9273626100,7.5616275700,6.8084379300,7.3435989900,5737765,42170620.0000,17.382108
sh.600843,2007-03-05,7.2345847000,7.3237782100,6.6102301300,6.9967353400,3199136,22711823.0000,9.691531
sh.600843,2007-03-06,6.7390652000,7.1751223600,6.7192444200,7.0859288500,1649624,11609506.0000,4.997406
