code,date,open,high,low,close,volume,amount,turn
sh.600850,2007-01-04,1.8589060000,1.8748394800,1.8323502000,1.8376613600,1275445,4445943.0000,1.958487
sh.600850,2007-01-05,1.8429725200,1.8960841200,1.8270390400,1.8907729600,1048069,3671371.0000,1.609344
sh.600850,2007-01-08,1.8748394800,1.9598180400,1.8748394800,1.9545068800,1537521,5583410.0000,2.360913
sh.600850,2007-01-09,1.9598180400,1.9863738400,1.9438845600,1.9704403600,2312345,8585049.0000,3.550680
sh.600850,2007-01-10,1.9704403600,1.9969961600,1.9332622400,1.9916850000,2763339,10208855.0000,4.243196
sh.600850,2007-01-11,1.9969961600,2.1085305200,1.9810626800,2.0235519600,4740093,18211300.0000,7.278566
sh.600850,2007-01-12,2.0182408000,2.0607300800,1.9279510800,1.9438845600,2469431,9301036.0000,3.791891
sh.600850,2007-01-15,1.9279510800,2.0341742800,1.9279510800,2.0235519600,2646036,9926524.0000,4.063074
sh.600850,2007-01-16,2.0182408000,2.0607300800,1.9969961600,2.0554189200,3373762,12877218.0000,5.180520
sh.600850,2007-01-17,2.0554189200,2.1350863200,2.0076184800,2.0501077600,4496797,17514174.0000,6.904977
sh.600850,2007-01-18,2.0447966000,2.1510198000,2.0288631200,2.1457086400,4657675,18404939.0000,7.152010
sh.600850,2007-01-19,2.1510198000,2.2041314000,2.1138416800,2.1988202400,5177541,21116167.0000,7.950281
sh.600850,2007-01-22,2.4165778000,2.4165778000,2.4165778000,2.4165778000,1456818,6628522.0000,2.236991
sh.600850,2007-01-23,2.6608911600,2.6608911600,2.6608911600,2.6608911600,1043990,5230390.0000,1.603080
sh.600850,2007-01-24,2.9264491600,2.9264491600,2.7883590000,2.9264491600,22454844,122514984.0000,34.480136
sh.600850,2007-01-25,2.7564920400,3.2185629600,2.6343353600,2.9954942400,12421383,69505153.0000,19.073434
sh.600850,2007-01-26,2.8680264000,3.0432946800,2.7405585600,2.8467817600,6810962,36863970.0000,10.458452
sh.600850,2007-01-29,2.8520929200,3.0008054000,2.8149148000,2.9370714800,5948489,32692746.0000,9.134096
sh.600850,2007-01-30,2.9052045200,3.0008054000,2.8414706000,2.8574040800,4181229,22900216.0000,6.420412
sh.600850,2007-01-31,2.8414706000,2.8998933600,2.5918460800,2.6396465200,3966050,20623443.0000,6.089998
sh.600850,2007-02-01,2.5918460800,2.6768246400,2.3953331600,2.6715134800,4293299,20761449.0000,6.592499
sh.600850,2007-02-02,2.6502688400,2.6821358000,2.5281121600,2.5334233200,2828219,13830448.0000,4.342821
sh.600850,2007-02-05,2.5228010000,2.6396465200,2.4856228800,2.5759126000,2302889,11162026.0000,3.536160
sh.600850,2007-02-06,2.6024684000,2.7246250800,2.6024684000,2.6927581200,3273129,16537456.0000,5.025995
sh.600850,2007-02-07,2.6927581200,2.7511808800,2.6555800000,2.7299362400,2995309,15258205.0000,4.599393
sh.600850,2007-02-08,2.7352474000,2.8149148000,2.7140027600,2.7618032000,2938053,15254527.0000,4.511475
sh.600850,2007-02-09,2.7883590000,2.7883590000,2.7140027600,2.7299362400,1859180,9580740.0000,2.854831
sh.600850,2007-02-12,2.7352474000,2.9105156800,2.7352474000,2.8467817600,3006696,16042453.0000,4.616879
sh.600850,2007-02-13,2.8467817600,2.8892710400,2.7724255200,2.8308482800,2246979,11882539.0000,3.450309
sh.600850,2007-02-14,2.8308482800,2.8892710400,2.8149148000,2.8414706000,3104053,16637652.0000,4.766373
sh.600850,2007-02-15,2.8680264000,3.0008054000,2.8255371200,2.9954942400,4731368,25821419.0000,7.265168
sh.600850,2007-02-16,3.0167388800,3.0804728000,2.9423826400,2.9476938000,4826488,27367951.0000,7.411228
sh.600850,2007-02-26,2.9742496000,3.0964062800,2.9105156800,3.0910951200,4034100,22993472.0000,6.194491
sh.600850,2007-02-27,3.0964062800,3.3460308000,2.8149148000,2.8520929200,7878001,46595553.0000,12.096924
sh.600850,2007-02-28,2.9211380000,3.1388955600,2.8680264000,3.1388955600,4885126,27671113.0000,7.501268
sh.600850,2007-03-01,3.1866960000,3.2291852800,3.0273612000,3.1282732400,5519070,32610177.0000,8.474710
sh.600850,2007-03-02,3.1388955600,3.1973183200,3.0592281600,3.1442067200,4275266,25250573.0000,6.564809
sh.600850,2007-03-05,3.1442067200,3.1866960000,2.8998933600,3.0539170000,5162218,29730953.0000,7.926752
sh.600850,2007-03-06,3.0220500400,3.1707625200,2.9052045200,3.1335844000,6491118,37009171.0000,6.625241
sh.600850,2007-03-07,3.1229620800,3.1282732400,3.0008054000,3.1229620800,6151964,35763902.0000,6.279079
sh.600850,2007-03-08,3.1282732400,3.4363205200,3.0539170000,3.4363205200,11408243,71380614.0000,11.643966
sh.600850,2007-03-09,3.4522540000,3.7709236000,3.4416316800,3.5266102400,18892934,127823607.0000,19.283310
sh.600850,2007-03-12,3.5425437200,3.6647004000,3.4522540000,3.6275222800,7457071,49876514.0000,7.611153
sh.600850,2007-03-13,3.5690995200,3.6434557600,3.5053656000,3.5903441600,5188160,34829719.0000,5.295361
sh.600850,2007-03-14,3.5319214000,3.8718356400,3.3725866000,3.6328334400,9183188,63017528.0000,9.372936
sh.600850,2007-03-15,3.6009664800,3.7337454800,3.5850330000,3.6487669200,5717344,39271727.0000,5.835479
sh.600850,2007-03-16,3.6753227200,3.6753227200,3.4097647200,3.5372325600,4736457,31586624.0000,4.834324
sh.600850,2007-03-19,3.3460308000,3.5266102400,3.2982303600,3.4734986400,3326727,21635017.0000,3.395466
sh.600850,2007-03-20,3.4681874800,3.6115888000,3.4681874800,3.5425437200,3075561,20502833.0000,3.139110
sh.600850,2007-03-21,3.5797218400,3.7071896800,3.5319214000,3.6647004000,5667783,38848855.0000,5.784894
sh.600850,2007-03-22,3.6593892400,3.8877691200,3.5637883600,3.8346575200,10168614,71476640.0000,10.378723
sh.600850,2007-03-23,3.9196360800,4.2170610400,3.9196360800,4.2170610400,7540197,59228320.0000,7.695997
sh.600850,2007-03-26,4.5038636800,4.5038636800,4.1958164000,4.2861061200,13567943,110659063.0000,13.848291
sh.600850,2007-03-27,4.2489280000,4.4295074400,4.1427048000,4.3604623600,7204277,57929396.0000,7.353136
sh.600850,2007-03-28,4.2914172800,4.3392177200,3.9355695600,4.1798829200,6986182,54980057.0000,7.130534
sh.600850,2007-03-29,4.1798829200,4.1798829200,3.8665244800,3.9143249200,6342209,47743067.0000,6.473255
sh.600850,2007-03-30,3.8771468000,3.9833700000,3.8134128800,3.9196360800,3773803,27823008.0000,3.851779
sh.600850,2007-04-02,3.9196360800,4.0364816000,3.8877691200,3.9939923200,3438055,25794704.0000,3.509094
sh.600850,2007-04-03,3.9939923200,3.9939923200,3.9939923200,3.9939923200,0,0.0000,
sh.600850,2007-04-04,4.1161490000,4.3923293200,4.0258592800,4.2701726400,8701615,70270984.0000,8.881413
sh.600850,2007-04-05,4.2595503200,4.3817070000,4.1586382800,4.2861061200,5242029,42069091.0000,5.350343
sh.600850,2007-04-06,4.1958164000,4.3710846800,4.1692606000,4.2967284400,5071100,40779304.0000,5.175882
sh.600850,2007-04-09,4.2967284400,4.4985525200,4.2595503200,4.4454409200,6911960,57325546.0000,7.054779
sh.600850,2007-04-10,4.4454409200,4.4719967200,4.1958164000,4.3392177200,5554837,45550982.0000,5.669614
sh.600850,2007-04-11,4.4082628000,4.6791319600,4.3710846800,4.6260203600,10168758,86543670.0000,10.378870
sh.600850,2007-04-12,4.5516641200,4.6631984800,4.4719967200,4.5675976000,5946218,51142767.0000,6.069082
sh.600850,2007-04-13,4.5569752800,4.5675976000,4.3551512000,4.4029516400,6554959,55439752.0000,6.690401
sh.600850,2007-04-16,4.3020396000,4.4985525200,4.3020396000,4.4826190400,5326894,44206128.0000,5.436961
sh.600850,2007-04-17,4.4826190400,4.6685096400,4.4135739600,4.6313315200,6773466,58030750.0000,6.913423
sh.600850,2007-04-18,4.6419538400,4.8703337200,4.5410418000,4.7375547200,7374926,65831908.0000,7.527311
sh.600850,2007-04-19,4.6738208000,4.7056877600,4.2648614800,4.3232842400,7194187,60301547.0000,7.342837
sh.600850,2007-04-20,4.3339065600,4.5357306400,4.3339065600,4.4932413600,5075732,42699144.0000,5.180610
sh.600850,2007-04-23,4.4560632400,4.7375547200,4.4348186000,4.6844431200,9386499,81114170.0000,9.580448
sh.600850,2007-04-24,4.7003766000,4.8331556000,4.5622864400,4.7322435600,10526807,92835026.0000,10.744318
sh.600850,2007-04-25,4.7428658800,4.9659346000,4.5941534000,4.9393788000,11601406,105052407.0000,11.841121
sh.600850,2007-04-26,4.9446899600,5.0349796800,4.8490890800,4.9234453200,7714628,71560812.0000,7.874032
sh.600850,2007-04-27,4.8862672000,4.8915783600,4.6685096400,4.7959774800,6137040,55367995.0000,6.263847
sh.600850,2007-04-30,4.7163100800,4.8756448800,4.7163100800,4.7534882000,5232649,47213594.0000,5.340769
sh.600850,2007-05-08,4.8065998000,5.0987136000,4.7587993600,5.0562243200,8206817,76431890.0000,8.376391
sh.600850,2007-05-09,5.0137350400,5.0190462000,4.6791319600,4.8650225600,7833453,71865234.0000,7.995312
sh.600850,2007-05-10,4.8490890800,5.0456020000,4.7959774800,4.9446899600,7868836,73428111.0000,8.031426
sh.600850,2007-05-11,4.9181341600,5.0987136000,4.8331556000,5.0880912800,9017163,84368303.0000,9.203481
sh.600850,2007-05-14,5.0880912800,5.3058488400,4.9871792400,5.1412028800,13488954,131916957.0000,13.767670
sh.600850,2007-05-15,5.1199582400,5.5660956800,5.0987136000,5.3855162400,16334550,162806683.0000,16.672063
sh.600850,2007-05-16,5.3111600000,5.6245184400,5.0987136000,5.5660956800,12957140,131131811.0000,13.224868
