code,date,open,high,low,close,volume,amount,turn
sh.600995,2007-01-04,2.7255135600,2.8199036400,2.6704526800,2.7609098400,8100127,56482847.0000,6.841323
sh.600995,2007-01-05,2.8906962000,2.9732875200,2.7648427600,2.9418241600,13908759,102028041.0000,11.747263
sh.600995,2007-01-08,2.9693546000,3.1188055600,2.9536229200,3.0244154800,11250363,86885801.0000,9.501996
sh.600995,2007-01-09,3.0676776000,3.0873422000,2.9732875200,3.0244154800,6857317,52640382.0000,5.791653
sh.600995,2007-01-10,3.0283484000,3.1738664400,2.9772204400,3.1660006000,8543318,66695518.0000,7.215640
sh.600995,2007-01-11,3.1660006000,3.4531037600,3.1070068000,3.3115186400,10241702,85994651.0000,8.650086
sh.600995,2007-01-12,3.3272503200,3.3429820000,2.9850862800,3.0126167200,8422560,68142946.0000,7.113649
sh.600995,2007-01-15,3.0047508800,3.1660006000,2.9890192000,3.1424030800,5574040,43855688.0000,4.707804
sh.600995,2007-01-16,3.1660006000,3.2800552800,3.1306043200,3.2013968800,5683339,46064862.0000,4.800117
sh.600995,2007-01-17,3.2013968800,3.3075857200,3.0676776000,3.1699335200,7140860,58182552.0000,6.031132
sh.600995,2007-01-18,3.1660006000,3.1974639600,3.0480130000,3.1620676800,5108227,40462496.0000,4.314381
sh.600995,2007-01-19,3.1424030800,3.4767012800,3.1424030800,3.4098416400,11340066,95628660.0000,9.577758
sh.600995,2007-01-22,3.4255733200,3.6104205600,3.4255733200,3.5868230400,11727253,105322897.0000,9.904774
sh.600995,2007-01-23,3.6064876400,3.7244752400,3.5002988000,3.6694143600,11094617,102858653.0000,9.370454
sh.600995,2007-01-24,3.6772802000,3.6812131200,3.5396280000,3.5986218000,5480935,50162915.0000,4.629168
sh.600995,2007-01-25,3.5396280000,3.7008777200,3.4806342000,3.5396280000,7944169,72473183.0000,6.709602
sh.600995,2007-01-26,3.5199634000,3.7952678000,3.5002988000,3.7559386000,9487759,87444782.0000,8.013310
sh.600995,2007-01-29,3.7559386000,3.7559386000,3.7559386000,3.7559386000,0,0.0000,
sh.600995,2007-01-30,3.9722492000,4.1334989200,3.9683162800,4.1295660000,17689608,185507619.0000,14.940547
sh.600995,2007-01-31,4.1295660000,4.2082244000,3.8857249600,3.9761821200,10255231,104607438.0000,8.661513
sh.600995,2007-02-01,3.9447187600,3.9722492000,3.6536826800,3.7716702800,6625127,64538012.0000,5.595546
sh.600995,2007-02-02,3.7638044400,3.8345970000,3.5081646400,3.5081646400,4918932,45894766.0000,4.154503
sh.600995,2007-02-05,3.5396280000,3.5986218000,3.4491708400,3.5474938400,4508800,40530920.0000,3.808108
sh.600995,2007-02-06,3.5592926000,3.6969448000,3.5553596800,3.6497497600,2668285,24620499.0000,2.253619
sh.600995,2007-02-07,3.6930118800,3.7362740000,3.6222193200,3.6576156000,3315803,30909572.0000,2.800509
sh.600995,2007-02-08,3.6654814400,3.8503286800,3.6182864000,3.7834690400,4726401,45255964.0000,3.991893
sh.600995,2007-02-09,3.7874019600,3.8542616000,3.6576156000,3.7874019600,4257609,40669060.0000,3.595954
sh.600995,2007-02-12,3.7952678000,3.8149324000,3.7362740000,3.7913348800,4382037,41989386.0000,3.701045
