code,date,open,high,low,close,volume,amount,turn
sh.600119,2007-01-04,2.8326600000,2.8515444000,2.7382380000,2.7854490000,4378514,12935152.0000,2.917996
sh.600119,2007-01-05,2.7760068000,2.8421022000,2.7382380000,2.8421022000,3238316,9569734.0000,2.158128
sh.600119,2007-01-08,2.8326600000,2.9931774000,2.8232178000,2.9648508000,6674405,20579257.0000,4.448059
sh.600119,2007-01-09,2.9648508000,2.9931774000,2.9081976000,2.9742930000,5567633,17419365.0000,3.710467
sh.600119,2007-01-10,2.9648508000,3.0498306000,2.9365242000,3.0498306000,5916580,18747786.0000,3.943017
sh.600119,2007-01-11,3.0687150000,3.1536948000,2.9837352000,3.0026196000,7683089,25072275.0000,5.120281
sh.600119,2007-01-12,3.0026196000,3.0026196000,3.0026196000,3.0026196000,0,0.0000,
sh.600119,2007-01-15,2.8893132000,3.1064838000,2.8421022000,3.1064838000,6361767,20087323.0000,4.239706
sh.600119,2007-01-16,3.1064838000,3.1253682000,3.0026196000,3.0875994000,6348850,20583271.0000,4.231097
sh.600119,2007-01-17,3.0875994000,3.1536948000,2.9742930000,3.0120618000,6335086,20642594.0000,4.221925
sh.600119,2007-01-18,3.0026196000,3.1536948000,2.9837352000,3.1159260000,5458195,17734540.0000,3.637534
sh.600119,2007-01-19,3.1159260000,3.4275186000,3.1159260000,3.4275186000,19350534,69228609.0000,12.895878
sh.600119,2007-01-22,3.4558452000,3.5408250000,3.3803076000,3.5124984000,17136169,62536030.0000,11.420147
sh.600119,2007-01-23,3.4936140000,3.5030562000,3.3142122000,3.4936140000,10386182,37569478.0000,6.921718
sh.600119,2007-01-24,3.4936140000,3.7391112000,3.4086342000,3.5597094000,8864500,33739281.0000,5.907615
sh.600119,2007-01-25,3.5124984000,3.5408250000,3.3519810000,3.3991920000,6381272,23252357.0000,4.252705
sh.600119,2007-01-26,3.3425388000,3.4369608000,3.1442526000,3.3991920000,5702711,19919581.0000,3.800488
sh.600119,2007-01-29,3.3991920000,3.6541314000,3.3991920000,3.5880360000,7530064,27925978.0000,5.018300
sh.600119,2007-01-30,3.6446892000,3.6446892000,3.4464030000,3.4747296000,6247266,23276201.0000,4.163398
sh.600119,2007-01-31,3.4086342000,3.7107846000,3.4086342000,3.4275186000,11210302,42503570.0000,7.470940
sh.600119,2007-02-01,3.3803076000,3.6541314000,3.3803076000,3.6069204000,10190969,38133058.0000,6.791621
sh.600119,2007-02-02,3.6069204000,3.8240910000,3.5313828000,3.6446892000,12961008,50780463.0000,8.637673
sh.600119,2007-02-05,3.6352470000,3.8335332000,3.6163626000,3.7768800000,8926289,35467606.0000,5.948794
sh.600119,2007-02-06,3.8335332000,3.8618598000,3.6824580000,3.7485534000,6828667,27252248.0000,4.550864
sh.600119,2007-02-07,3.7579956000,4.0318194000,3.7013424000,4.0034928000,10737476,43672609.0000,7.155832
sh.600119,2007-02-08,3.9468396000,4.1451258000,3.8713020000,4.0695882000,9763628,41145326.0000,6.506826
