date,sh.600843.csv,sh.600863.csv,sh.600867.csv,sh.600143.csv,sz.000796.csv,sh.600352.csv,sh.600016.csv,sh.600133.csv,sz.000776.csv,sz.300740.csv
2007-03-13,7.55171718,1.50849732,2.00515817,7.19512262,7.9692882,1.4923498,2.60824434,4.26668562,3.85831435,
2007-03-14,7.31386782,1.51147854,1.95020082,7.18439075,8.3062979,1.4470076,2.53906014,4.15413516,3.85831435,
2007-03-15,7.64091069,1.53234708,2.07110699,7.90342604,8.2468256,1.4726358,2.58057066,4.20529446,3.85831435,
2007-03-16,7.47243406,1.48464756,1.98945607,8.30527495,7.731399,1.4115224,2.54367242,4.40481573,3.85831435,
2007-03-19,8.21571331,1.46676024,1.99102628,8.10017699,7.68183875,1.4115224,2.7443066,4.48155468,3.85831435,
2007-03-20,8.50311462,1.52936586,1.9941667,7.903764,8.03867255,1.488407,2.71432678,4.7066556,3.85831435,
2007-03-21,8.4238315,1.5353283,2.1197835,8.1312966,8.77216425,1.527835,2.74200046,4.94198838,3.85831435,
2007-03-22,8.35445877,1.62178368,2.08994951,7.87023288,8.63339555,1.5199494,2.7327759,5.18755302,3.85831435,
2007-03-23,8.27517565,1.6545771,2.13077497,7.99238196,8.8811968,1.6244336,2.68434696,4.95222024,3.85831435,
2007-03-26,8.71123281,1.77680712,2.19201316,7.72173792,8.9604932,1.7230036,2.73969432,4.7066556,3.85831435,
2007-03-27,8.71123281,1.80960054,2.1825919,7.7001822,8.8811968,1.724975,2.72585748,4.73223525,3.85831435,
2007-03-28,8.919351,1.77084468,2.1040814,7.50139056,8.47480275,1.7230036,2.8596136,4.63503258,3.85831435,
2007-03-29,8.25535487,1.68140808,1.98788586,7.49899548,7.8305195,1.6678044,2.90804254,4.74246711,3.85831435,
2007-03-30,8.31481721,1.6992954,1.99730712,7.70257728,7.8701677,1.6776614,2.86883816,4.97779989,3.85831435,
2007-04-02,8.64186008,1.76488224,2.09780056,7.5205512,8.2468256,1.6914612,2.92187938,5.01872733,3.85831435,
2007-04-03,8.90944061,1.76786346,2.13391539,7.53492168,8.8415486,1.744689,2.9403285,4.95222024,3.85831435,
2007-04-04,8.78060554,1.7589198,2.30663849,7.7959854,8.67304375,1.7782028,2.8942057,5.19778488,3.85831435,
2007-04-05,8.7211432,1.83643152,2.26267261,8.0714196,8.8217245,1.7782028,2.8596136,5.10569814,3.85831435,
2007-04-06,8.86979905,1.91394324,2.34746395,7.903764,8.81181245,1.7801742,2.82732764,5.04430698,3.85831435,
2007-04-09,9.1175588,1.95568032,2.33804269,7.85107224,8.65321965,1.7920026,2.82732764,5.02895919,3.85831435,
2007-04-10,8.90944061,1.98847374,2.27837471,7.64988552,9.2975029,1.8491732,2.88036886,4.9624521,3.85831435,
2007-04-11,8.86979905,1.9676052,2.47936159,7.63072488,9.0199655,1.8058024,2.95416534,5.0647707,3.85831435,
2007-04-12,9.02836529,1.97953008,2.49506369,7.60198392,8.91093295,1.823545,2.97953288,5.14150965,3.85831435,
2007-04-13,9.0184549,1.9676052,2.36630647,7.65707076,8.8811968,1.7663744,2.89189956,5.39730615,3.85831435,
2007-04-16,9.36531855,2.0421357,2.42597445,7.70497236,9.16864625,1.8018596,2.9749206,5.66845044,3.85831435,
2007-04-17,9.59325752,2.24783988,2.47936159,7.64988552,9.40653545,1.8117166,2.94494078,5.94982659,3.85831435,
2007-04-18,9.75182376,2.40882576,2.58456566,7.59479868,9.70389695,1.9181722,2.88728728,6.16981158,3.85831435,
